GTOD,GATG,GHTG,SESI,SGNM,SEWN,GDAT,SEST,SEWT,,,
750,17,40,0,0,0,2,0,0,,Cal,Kansas State
1080,127,82,0,1,0,2,0,0,,Grambling State,San Jose State
930,190,26,0,0,1,0,0,1,,#N/A,Eastern Michigan
1080,104,103,0,1,1,0,0,1,,Utah State,Utah
1080,31,16,0,2,1,0,0,1,,Georgia Tech,BYU
1080,41,2,0,3,1,0,0,1,,Kent State,Akron
1200,209,69,0,4,1,0,0,1,,SMS,Ohio
750,19,51,0,5,1,2,0,1,,Central Michigan,Michigan
750,211,14,0,6,1,2,0,1,,Western Kentucky,Bowling Green
750,61,92,0,7,1,2,0,1,,New Mexico State,Texas
750,28,62,0,8,1,2,0,1,,Florida State,North Carolina
750,82,27,0,9,1,2,0,1,,San Jose State,Florida
750,126,53,0,10,1,2,0,1,,Florida A&M,Mid Tenn State
750,196,1,0,11,1,2,0,1,,Wofford,Air Force
750,15,80,0,12,1,2,0,1,,Buffalo,Rutgers
750,102,9,0,13,1,2,0,1,,USC,Auburn
750,207,38,0,14,1,2,0,1,,UNI,Iowa State
750,141,60,0,15,1,2,0,1,,Texas Southern,New Mexico
750,49,43,0,16,1,2,0,1,,Miami,Louisiana Tech
750,72,58,0,17,1,2,0,1,,Oklahoma State,Nebraska
750,188,32,0,18,1,2,0,1,,Appalachian State,Hawaii
750,144,3,0,19,1,2,0,1,,USF,Alabama
930,98,11,0,20,1,2,0,1,,UAB,Baylor
930,85,17,0,21,1,2,0,1,,Southern Miss,Cal
930,29,91,0,22,1,2,0,1,,Fresno State,Tennessee
930,105,4,0,23,1,2,0,1,,UTEP,Arizona
930,95,101,0,24,1,2,0,1,,Toledo,UNLV
930,203,75,0,25,1,2,0,1,,Sacramento State,Oregon State
930,178,46,0,26,1,2,0,1,,Hofstra,Marshall
930,109,13,0,27,1,2,0,1,,Wake Forest,Boston College
930,86,84,0,28,1,2,0,1,,UL Lafayette,South Carolina
1080,201,59,0,29,1,2,0,1,,Northern Arizona,Nevada
1080,50,37,0,30,1,2,0,1,,Miami University,Iowa
1080,56,35,0,31,1,2,0,1,,Missouri,Illinois
1080,65,45,0,32,1,2,0,1,,UL Monroe,LSU
1080,97,54,0,33,1,2,0,1,,Tulsa,Minnesota
1080,83,94,0,34,1,2,0,1,,SMU,Texas Tech
1080,64,71,0,35,1,2,0,1,,North Texas,Oklahoma
1080,30,21,0,36,1,2,0,1,,Georgia,Clemson
1080,187,57,0,37,1,2,0,1,,William and Mary,Navy
1080,179,48,0,38,1,2,0,1,,James Madison,Memphis
1080,23,22,0,39,1,2,0,1,,Colorado State,Colorado
1080,74,55,0,40,1,2,0,1,,Oregon,Mississippi State
1080,34,111,0,41,1,2,0,1,,Idaho,Washington State
1200,195,63,0,42,1,2,0,1,,Western Carolina,NC State
1200,73,106,0,43,1,2,0,1,,Ole Miss,Vanderbilt
1200,197,81,0,44,1,2,0,1,,E Washington,San Diego State
1200,67,39,0,45,1,2,0,1,,Northwestern,Kansas
1200,200,115,0,46,1,2,0,1,,Montana State,Wyoming
1200,206,10,0,47,1,2,0,1,,Indiana State,Ball State
1200,114,112,0,48,1,2,0,1,,Wisconsin,West Virginia
1200,47,66,0,49,1,2,0,1,,Maryland,Northern Illinois
1200,143,40,0,50,1,2,0,1,,Troy,Kansas State
1200,36,100,0,51,1,2,0,1,,Indiana,Connecticut
1200,79,33,0,52,1,2,0,1,,Rice,Houston
1200,24,107,0,53,1,2,0,1,,Duke,Virginia
1200,113,52,0,54,1,2,0,1,,Western Michigan,Michigan State
1200,90,76,0,55,1,2,0,1,,Temple,Penn State
1200,7,93,0,56,1,2,0,1,,Arkansas State,Texas A&M
1200,110,70,0,57,1,2,0,1,,Washington,Ohio State
900,18,108,0,58,1,3,0,1,,UCF,Virginia Tech
