GTOD,GATG,GHTG,SESI,SGNM,SEWN,GDAT,SEST,SEWT,,,
1110,44,42,0,59,1,3,0,1,,Louisville,Kentucky
720,25,20,0,60,1,4,0,1,,ECU,Cincinnati
1200,89,96,0,61,1,4,0,1,,TCU,Tulane
1080,210,26,0,0,2,0,0,2,,Western Illinois,Eastern Michigan
1140,85,98,0,1,2,0,0,2,,Southern Miss,UAB
750,194,106,0,2,2,2,0,2,,Chattanooga,Vanderbilt
750,179,108,0,3,2,2,0,2,,James Madison,Virginia Tech
750,198,12,0,4,2,2,0,2,,Idaho State,Boise State
750,14,78,0,5,2,2,0,2,,Bowling Green,Purdue
750,99,22,0,6,2,2,0,2,,UCLA,Colorado
750,188,66,0,7,2,2,0,2,,Appalachian State,Northern Illinois
750,56,10,0,8,2,2,0,2,,Missouri,Ball State
750,118,40,0,9,2,2,0,2,,Alcorn State,Kansas State
750,103,93,0,10,2,2,0,2,,Utah,Texas A&M
750,41,77,0,11,2,2,0,2,,Kent State,Pittsburgh
750,27,49,0,12,2,2,0,2,,Florida,Miami
750,208,42,0,13,2,2,0,2,,Southern Illinois,Kentucky
750,100,8,0,14,2,2,0,2,,Connecticut,Army
750,97,6,0,15,2,2,0,2,,Tulsa,Arkansas
750,205,35,0,16,2,2,0,2,,Illinois State,Illinois
930,82,87,0,17,2,2,0,2,,San Jose State,Stanford
930,75,29,0,18,2,2,0,2,,Oregon State,Fresno State
930,199,61,0,19,2,2,0,2,,Montana,New Mexico State
930,45,4,0,20,2,2,0,2,,LSU,Arizona
930,182,19,0,21,2,2,0,2,,New Hampshire,Central Michigan
930,59,74,0,22,2,2,0,2,,Nevada,Oregon
930,141,65,0,23,2,2,0,2,,Texas Southern,UL Monroe
930,101,39,0,24,2,2,0,2,,UNLV,Kansas
930,203,105,0,25,2,2,0,2,,Sacramento State,UTEP
930,88,62,0,26,2,2,0,2,,Syracuse,North Carolina
930,9,31,0,27,2,2,0,2,,Auburn,Georgia Tech
930,119,7,0,28,2,2,0,2,,Ark - Pine Bluff,Arkansas State
1080,47,28,0,29,2,2,0,2,,Maryland,Florida State
1080,15,37,0,30,2,2,0,2,,Buffalo,Iowa
1080,112,25,0,31,2,2,0,2,,West Virginia,ECU
1080,143,54,0,32,2,2,0,2,,Troy,Minnesota
1080,140,144,0,33,2,2,0,2,,Southern,USF
1080,104,58,0,34,2,2,0,2,,Utah State,Nebraska
1080,23,17,0,35,2,2,0,2,,Colorado State,Cal
1080,195,24,0,36,2,2,0,2,,Western Carolina,Duke
1080,107,84,0,37,2,2,0,2,,Virginia,South Carolina
1080,63,109,0,38,2,2,0,2,,NC State,Wake Forest
1080,1,67,0,39,2,2,0,2,,Air Force,Northwestern
1080,53,30,0,40,2,2,0,2,,Mid Tenn State,Georgia
1080,46,91,0,41,2,2,0,2,,Marshall,Tennessee
1080,201,5,0,42,2,2,0,2,,Northern Arizona,Arizona State
1080,57,89,0,43,2,2,0,2,,Navy,TCU
1080,187,113,0,44,2,2,0,2,,William and Mary,Western Michigan
1080,81,70,0,45,2,2,0,2,,San Diego State,Ohio State
1080,2,114,0,46,2,2,0,2,,Akron,Wisconsin
1080,132,96,0,47,2,2,0,2,,Miss Valley State,Tulane
1080,186,90,0,48,2,2,0,2,,Villanova,Temple
1080,111,68,0,49,2,2,0,2,,Washington State,Notre Dame
1080,43,86,0,50,2,2,0,2,,Louisiana Tech,UL Lafayette
1200,192,21,0,51,2,2,0,2,,Furman,Clemson
1200,11,64,0,52,2,2,0,2,,Baylor,North Texas
1200,115,72,0,53,2,2,0,2,,Wyoming,Oklahoma State
1200,69,38,0,54,2,2,0,2,,Ohio,Iowa State
1200,71,3,0,55,2,2,0,2,,Oklahoma,Alabama
1200,33,51,0,56,2,2,0,2,,Houston,Michigan
1200,73,48,0,57,2,2,0,2,,Ole Miss,Memphis
1200,197,34,0,58,2,2,0,2,,E Washington,Idaho
1200,13,76,0,59,2,2,0,2,,Boston College,Penn State
1200,60,94,0,60,2,2,0,2,,New Mexico,Texas Tech
1200,178,95,0,61,2,2,0,2,,Hofstra,Toledo
1200,36,110,0,62,2,2,0,2,,Indiana,Washington
1200,16,102,0,63,2,2,0,2,,BYU,USC
1200,80,52,0,64,2,2,0,2,,Rutgers,Michigan State
1170,17,103,0,0,3,0,0,3,,Cal,Utah
930,95,46,0,1,3,1,0,3,,Toledo,Marshall
750,35,99,0,2,3,2,0,3,,Illinois,UCLA
750,189,47,0,3,3,2,0,3,,The Citadel,Maryland
750,192,144,0,4,3,2,0,3,,Furman,USF
750,74,4,0,5,3,2,0,3,,Oregon,Arizona
750,101,114,0,6,3,2,0,3,,UNLV,Wisconsin
750,43,52,0,7,3,2,0,3,,Louisiana Tech,Michigan State
750,26,2,0,8,3,2,0,3,,Eastern Michigan,Akron
750,83,11,0,9,3,2,0,3,,SMU,Baylor
750,29,71,0,10,3,2,0,3,,Fresno State,Oklahoma
750,211,56,0,11,3,2,0,3,,Western Kentucky,Missouri
750,81,105,0,12,3,2,0,3,,San Diego State,UTEP
750,16,60,0,13,3,2,0,3,,BYU,New Mexico
750,78,109,0,14,3,2,0,3,,Purdue,Wake Forest
750,80,8,0,15,3,2,0,3,,Rutgers,Army
930,107,113,0,16,3,2,0,3,,Virginia,Western Michigan
930,68,51,0,17,3,2,0,3,,Notre Dame,Michigan
930,193,97,0,18,3,2,0,3,,Georgia Southern,Tulsa
930,210,45,0,19,3,2,0,3,,Western Illinois,LSU
930,13,100,0,20,3,2,0,3,,Boston College,Connecticut
930,33,86,0,21,3,2,0,3,,Houston,UL Lafayette
930,79,24,0,22,3,2,0,3,,Rice,Duke
930,50,67,0,23,3,2,0,3,,Miami University,Northwestern
930,48,85,0,24,3,2,0,3,,Memphis,Southern Miss
930,122,15,0,25,3,2,0,3,,Columbia,Buffalo
1080,44,88,0,26,3,2,0,3,,Louisville,Syracuse
1080,6,92,0,27,3,2,0,3,,Arkansas,Texas
1080,37,38,0,28,3,2,0,3,,Iowa,Iowa State
1080,206,36,0,29,3,2,0,3,,Indiana State,Indiana
1080,65,73,0,30,3,2,0,3,,UL Monroe,Ole Miss
1080,54,69,0,31,3,2,0,3,,Minnesota,Ohio
1080,126,27,0,32,3,2,0,3,,Florida A&M,Florida
1080,195,18,0,33,3,2,0,3,,Western Carolina,UCF
1080,76,58,0,34,3,2,0,3,,Penn State,Nebraska
1080,25,49,0,35,3,2,0,3,,ECU,Miami
1080,9,106,0,36,3,2,0,3,,Auburn,Vanderbilt
1080,12,34,0,37,3,2,0,3,,Boise State,Idaho
1080,204,23,0,38,3,2,0,3,,Weber State,Colorado State
1080,20,112,0,39,3,2,0,3,,Cincinnati,West Virginia
1080,64,1,0,40,3,2,0,3,,North Texas,Air Force
1200,84,30,0,41,3,2,0,3,,South Carolina,Georgia
1200,55,96,0,42,3,2,0,3,,Mississippi State,Tulane
1200,212,41,0,43,3,2,0,3,,Youngstown State,Kent State
1200,39,115,0,44,3,2,0,3,,Kansas,Wyoming
1200,42,3,0,45,3,2,0,3,,Kentucky,Alabama
1200,10,77,0,46,3,2,0,3,,Ball State,Pittsburgh
1200,63,70,0,47,3,2,0,3,,NC State,Ohio State
1200,205,19,0,48,3,2,0,3,,Illinois State,Central Michigan
1200,31,28,0,49,3,2,0,3,,Georgia Tech,Florida State
1200,32,102,0,50,3,2,0,3,,Hawaii,USC
1200,191,14,0,51,3,2,0,3,,Elon,Bowling Green
1200,53,21,0,52,3,2,0,3,,Mid Tenn State,Clemson
1200,181,40,0,53,3,2,0,3,,UMass,Kansas State
1200,104,5,0,54,3,2,0,3,,Utah State,Arizona State
1200,111,22,0,55,3,2,0,3,,Washington State,Colorado
1200,61,75,0,56,3,2,0,3,,New Mexico State,Oregon State
1200,143,98,0,57,3,2,0,3,,Troy,UAB
1200,209,72,0,58,3,2,0,3,,SMS,Oklahoma State
1170,93,108,0,0,4,0,0,4,,Texas A&M,Virginia Tech
1200,59,82,0,1,4,0,0,4,,Nevada,San Jose State
1260,32,101,0,2,4,1,0,4,,Hawaii,UNLV
750,141,11,0,3,4,2,0,4,,Texas Southern,Baylor
750,115,1,0,4,4,2,0,4,,Wyoming,Air Force
750,34,110,0,5,4,2,0,4,,Idaho,Washington
750,22,28,0,6,4,2,0,4,,Colorado,Florida State
750,30,45,0,7,4,2,0,4,,Georgia,LSU
750,41,76,0,8,4,2,0,4,,Kent State,Penn State
750,52,68,0,9,4,2,0,4,,Michigan State,Notre Dame
750,26,57,0,10,4,2,0,4,,Eastern Michigan,Navy
750,62,114,0,11,4,2,0,4,,North Carolina,Wisconsin
750,46,40,0,12,4,2,0,4,,Marshall,Kansas State
750,50,23,0,13,4,2,0,4,,Miami University,Colorado State
750,51,74,0,14,4,2,0,4,,Michigan,Oregon
750,42,36,0,15,4,2,0,4,,Kentucky,Indiana
750,49,13,0,16,4,2,0,4,,Miami,Boston College
930,67,24,0,17,4,2,0,4,,Northwestern,Duke
930,94,63,0,18,4,2,0,4,,Texas Tech,NC State
930,98,84,0,19,4,2,0,4,,UAB,South Carolina
930,100,15,0,20,4,2,0,4,,Connecticut,Buffalo
930,90,20,0,21,4,2,0,4,,Temple,Cincinnati
930,131,39,0,22,4,2,0,4,,Jackson State,Kansas
930,17,35,0,23,4,2,0,4,,Cal,Illinois
930,19,10,0,24,4,2,0,4,,Central Michigan,Ball State
930,87,16,0,25,4,2,0,4,,Stanford,BYU
930,99,71,0,26,4,2,0,4,,UCLA,Oklahoma
930,106,89,0,27,4,2,0,4,,Vanderbilt,TCU
930,64,6,0,28,4,2,0,4,,North Texas,Arkansas
930,7,97,0,29,4,2,0,4,,Arkansas State,Tulsa
1080,86,54,0,30,4,2,0,4,,UL Lafayette,Minnesota
1080,14,70,0,31,4,2,0,4,,Bowling Green,Ohio State
1080,130,2,0,32,4,2,0,4,,Howard,Akron
1080,66,3,0,33,4,2,0,4,,Northern Illinois,Alabama
1080,72,83,0,34,4,2,0,4,,Oklahoma State,SMU
1080,25,109,0,35,4,2,0,4,,ECU,Wake Forest
1080,60,111,0,36,4,2,0,4,,New Mexico,Washington State
1080,18,88,0,37,4,2,0,4,,UCF,Syracuse
1080,96,8,0,38,4,2,0,4,,Tulane,Army
1080,12,75,0,39,4,2,0,4,,Boise State,Oregon State
1200,43,29,0,40,4,2,0,4,,Louisiana Tech,Fresno State
1200,105,44,0,41,4,2,0,4,,UTEP,Louisville
1200,55,33,0,42,4,2,0,4,,Mississippi State,Houston
1200,116,143,0,43,4,2,0,4,,Alabama A&M,Troy
1200,112,47,0,44,4,2,0,4,,West Virginia,Maryland
1200,91,27,0,45,4,2,0,4,,Tennessee,Florida
1200,4,78,0,46,4,2,0,4,,Arizona,Purdue
1200,53,56,0,47,4,2,0,4,,Mid Tenn State,Missouri
1200,5,37,0,48,4,2,0,4,,Arizona State,Iowa
1200,92,79,0,49,4,2,0,4,,Texas,Rice
1200,21,31,0,50,4,2,0,4,,Clemson,Georgia Tech
1200,77,95,0,51,4,2,0,4,,Pittsburgh,Toledo
1200,198,81,0,52,4,2,0,4,,Idaho State,San Diego State
1170,58,85,0,0,5,0,0,5,,Nebraska,Southern Miss
750,183,105,0,1,5,2,0,5,,Northeastern,UTEP
750,144,8,0,2,5,2,0,5,,USF,Army
750,57,80,0,3,5,2,0,5,,Navy,Rutgers
750,7,48,0,4,5,2,0,5,,Arkansas State,Memphis
750,54,76,0,5,5,2,0,5,,Minnesota,Penn State
750,67,70,0,6,5,2,0,5,,Northwestern,Ohio State
750,28,24,0,7,5,2,0,5,,Florida State,Duke
750,20,50,0,8,5,2,0,5,,Cincinnati,Miami University
750,115,12,0,9,5,2,0,5,,Wyoming,Boise State
750,77,93,0,10,5,2,0,5,,Pittsburgh,Texas A&M
930,6,3,0,11,5,2,0,5,,Arkansas,Alabama
930,81,99,0,12,5,2,0,5,,San Diego State,UCLA
930,84,91,0,13,5,2,0,5,,South Carolina,Tennessee
930,46,143,0,14,5,2,0,5,,Marshall,Troy
930,34,199,0,15,5,2,0,5,,Idaho,Montana
930,79,32,0,16,5,2,0,5,,Rice,Hawaii
930,109,107,0,17,5,2,0,5,,Wake Forest,Virginia
930,36,51,0,18,5,2,0,5,,Indiana,Michigan
930,94,73,0,19,5,2,0,5,,Texas Tech,Ole Miss
930,111,74,0,20,5,2,0,5,,Washington State,Oregon
930,1,16,0,21,5,2,0,5,,Air Force,BYU
1080,211,9,0,22,5,2,0,5,,Western Kentucky,Auburn
1080,114,35,0,23,5,2,0,5,,Wisconsin,Illinois
1080,65,104,0,24,5,2,0,5,,UL Monroe,Utah State
1080,87,110,0,25,5,2,0,5,,Stanford,Washington
1080,202,29,0,26,5,2,0,5,,Portland State,Fresno State
1080,27,42,0,27,5,2,0,5,,Florida,Kentucky
1080,2,15,0,28,5,2,0,5,,Akron,Buffalo
1080,90,44,0,29,5,2,0,5,,Temple,Louisville
1080,103,23,0,30,5,2,0,5,,Utah,Colorado State
1080,56,39,0,31,5,2,0,5,,Missouri,Kansas
1080,102,17,0,32,5,2,0,5,,USC,Cal
1080,68,78,0,33,5,2,0,5,,Notre Dame,Purdue
1200,37,52,0,34,5,2,0,5,,Iowa,Michigan State
1200,62,63,0,35,5,2,0,5,,North Carolina,NC State
1200,38,66,0,36,5,2,0,5,,Iowa State,Northern Illinois
1200,31,106,0,37,5,2,0,5,,Georgia Tech,Vanderbilt
1200,5,75,0,38,5,2,0,5,,Arizona State,Oregon State
1200,89,4,0,39,5,2,0,5,,TCU,Arizona
1200,45,55,0,40,5,2,0,5,,LSU,Mississippi State
1200,95,88,0,41,5,2,0,5,,Toledo,Syracuse
1200,113,69,0,42,5,2,0,5,,Western Michigan,Ohio
1200,86,64,0,43,5,2,0,5,,UL Lafayette,North Texas
1200,18,41,0,44,5,2,0,5,,UCF,Kent State
1200,10,13,0,45,5,2,0,5,,Ball State,Boston College
1200,100,108,0,46,5,2,0,5,,Connecticut,Virginia Tech
1200,96,92,0,47,5,2,0,5,,Tulane,Texas
1200,83,59,0,48,5,2,0,5,,SMU,Nevada
1200,47,26,0,49,5,2,0,5,,Maryland,Eastern Michigan
1200,61,60,0,50,5,2,0,5,,New Mexico State,New Mexico
1170,33,25,0,51,5,5,0,5,,Houston,ECU
1170,112,49,0,0,6,0,0,6,,West Virginia,Miami
1320,74,103,0,1,6,1,0,6,,Oregon,Utah
750,3,30,0,2,6,2,0,6,,Alabama,Georgia
750,101,59,0,3,6,2,0,6,,UNLV,Nevada
750,4,111,0,4,6,2,0,6,,Arizona,Washington State
750,22,11,0,5,6,2,0,6,,Colorado,Baylor
750,45,84,0,6,6,2,0,6,,LSU,South Carolina
750,2,50,0,7,6,2,0,6,,Akron,Miami University
750,21,47,0,8,6,2,0,6,,Clemson,Maryland
750,35,78,0,9,6,2,0,6,,Illinois,Purdue
750,113,26,0,10,6,2,0,6,,Western Michigan,Eastern Michigan
750,65,7,0,11,6,2,0,6,,UL Monroe,Arkansas State
750,114,76,0,12,6,2,0,6,,Wisconsin,Penn State
750,32,97,0,13,6,2,0,6,,Hawaii,Tulsa
750,105,83,0,14,6,2,0,6,,UTEP,SMU
750,143,58,0,15,6,2,0,6,,Troy,Nebraska
930,1,57,0,16,6,2,0,6,,Air Force,Navy
930,73,27,0,17,6,2,0,6,,Ole Miss,Florida
930,40,92,0,18,6,2,0,6,,Kansas State,Texas
930,110,99,0,19,6,2,0,6,,Washington,UCLA
930,102,5,0,20,6,2,0,6,,USC,Arizona State
930,75,17,0,21,6,2,0,6,,Oregon State,Cal
930,44,144,0,22,6,2,0,6,,Louisville,USF
930,71,38,0,23,6,2,0,6,,Oklahoma,Iowa State
930,182,100,0,24,6,2,0,6,,New Hampshire,Connecticut
930,86,72,0,25,6,2,0,6,,UL Lafayette,Oklahoma State
930,90,53,0,26,6,2,0,6,,Temple,Mid Tenn State
930,85,20,0,27,6,2,0,6,,Southern Miss,Cincinnati
930,104,60,0,28,6,2,0,6,,Utah State,New Mexico
930,12,43,0,29,6,2,0,6,,Boise State,Louisiana Tech
1080,15,18,0,30,6,2,0,6,,Buffalo,UCF
1080,36,52,0,31,6,2,0,6,,Indiana,Michigan State
1080,98,48,0,32,6,2,0,6,,UAB,Memphis
1080,19,14,0,33,6,2,0,6,,Central Michigan,Bowling Green
1080,29,23,0,34,6,2,0,6,,Fresno State,Colorado State
1080,69,66,0,35,6,2,0,6,,Ohio,Northern Illinois
1200,63,31,0,36,6,2,0,6,,NC State,Georgia Tech
1200,93,94,0,37,6,2,0,6,,Texas A&M,Texas Tech
1200,108,80,0,38,6,2,0,6,,Virginia Tech,Rutgers
1200,106,55,0,39,6,2,0,6,,Vanderbilt,Mississippi State
1200,10,41,0,40,6,2,0,6,,Ball State,Kent State
1200,54,67,0,41,6,2,0,6,,Minnesota,Northwestern
1200,107,62,0,42,6,2,0,6,,Virginia,North Carolina
1200,51,37,0,43,6,2,0,6,,Michigan,Iowa
1200,34,61,0,44,6,2,0,6,,Idaho,New Mexico State
1200,8,89,0,45,6,2,0,6,,Army,TCU
1200,91,9,0,46,6,2,0,6,,Tennessee,Auburn
1200,16,81,0,47,6,2,0,6,,BYU,San Diego State
1200,82,79,0,48,6,2,0,6,,San Jose State,Rice
1260,23,16,0,0,7,0,0,7,,Colorado State,BYU
1200,89,144,0,1,7,1,0,7,,TCU,USF
750,43,105,0,2,7,2,0,7,,Louisiana Tech,UTEP
750,18,69,0,3,7,2,0,7,,UCF,Ohio
750,65,86,0,4,7,2,0,7,,UL Monroe,UL Lafayette
750,13,90,0,5,7,2,0,7,,Boston College,Temple
750,100,63,0,6,7,2,0,7,,Connecticut,NC State
750,61,53,0,7,7,2,0,7,,New Mexico State,Mid Tenn State
750,40,72,0,8,7,2,0,7,,Kansas State,Oklahoma State
750,29,32,0,9,7,2,0,7,,Fresno State,Hawaii
750,107,21,0,10,7,2,0,7,,Virginia,Clemson
750,42,84,0,11,7,2,0,7,,Kentucky,South Carolina
750,51,54,0,12,7,2,0,7,,Michigan,Minnesota
750,14,113,0,13,7,2,0,7,,Bowling Green,Western Michigan
930,115,104,0,14,7,2,0,7,,Wyoming,Utah State
930,71,92,0,15,7,2,0,7,,Oklahoma,Texas
930,87,102,0,16,7,2,0,7,,Stanford,USC
930,83,82,0,17,7,2,0,7,,SMU,San Jose State
930,27,45,0,18,7,2,0,7,,Florida,LSU
930,59,110,0,19,7,2,0,7,,Nevada,Washington
930,38,94,0,20,7,2,0,7,,Iowa State,Texas Tech
930,39,22,0,21,7,2,0,7,,Kansas,Colorado
930,26,95,0,22,7,2,0,7,,Eastern Michigan,Toledo
930,8,44,0,23,7,2,0,7,,Army,Louisville
930,11,93,0,24,7,2,0,7,,Baylor,Texas A&M
930,68,77,0,25,7,2,0,7,,Notre Dame,Pittsburgh
1080,30,91,0,26,7,2,0,7,,Georgia,Tennessee
1080,202,2,0,27,7,2,0,7,,Portland State,Akron
1080,24,47,0,28,7,2,0,7,,Duke,Maryland
1080,85,3,0,29,7,2,0,7,,Southern Miss,Alabama
1080,70,114,0,30,7,2,0,7,,Ohio State,Wisconsin
1080,76,78,0,31,7,2,0,7,,Penn State,Purdue
1080,20,98,0,32,7,2,0,7,,Cincinnati,UAB
1080,58,56,0,33,7,2,0,7,,Nebraska,Missouri
1080,101,1,0,34,7,2,0,7,,UNLV,Air Force
1080,74,5,0,35,7,2,0,7,,Oregon,Arizona State
1080,66,19,0,36,7,2,0,7,,Northern Illinois,Central Michigan
1080,48,55,0,37,7,2,0,7,,Memphis,Mississippi State
1080,33,96,0,38,7,2,0,7,,Houston,Tulane
1080,52,35,0,39,7,2,0,7,,Michigan State,Illinois
1080,15,50,0,40,7,2,0,7,,Buffalo,Miami University
1200,99,4,0,41,7,2,0,7,,UCLA,Arizona
1200,97,12,0,42,7,2,0,7,,Tulsa,Boise State
1200,31,109,0,43,7,2,0,7,,Georgia Tech,Wake Forest
1200,57,106,0,44,7,2,0,7,,Navy,Vanderbilt
1200,80,112,0,45,7,2,0,7,,Rutgers,West Virginia
1200,9,6,0,46,7,2,0,7,,Auburn,Arkansas
1200,88,108,0,47,7,2,0,7,,Syracuse,Virginia Tech
1200,62,25,0,48,7,2,0,7,,North Carolina,ECU
1200,49,28,0,49,7,2,0,7,,Miami,Florida State
1200,7,73,0,50,7,2,0,7,,Arkansas State,Ole Miss
1200,41,46,0,51,7,2,0,7,,Kent State,Marshall
1200,67,36,0,52,7,2,0,7,,Northwestern,Indiana
1200,81,103,0,53,7,2,0,7,,San Diego State,Utah
1200,64,34,0,54,7,2,0,7,,North Texas,Idaho
1200,192,143,0,55,7,2,0,7,,Furman,Troy
1200,1,23,0,0,8,0,0,8,,Air Force,Colorado State
750,3,73,0,1,8,2,0,8,,Alabama,Ole Miss
750,17,99,0,2,8,2,0,8,,Cal,UCLA
750,61,86,0,3,8,2,0,8,,New Mexico State,UL Lafayette
750,104,64,0,4,8,2,0,8,,Utah State,North Texas
750,28,107,0,5,8,2,0,8,,Florida State,Virginia
750,90,49,0,6,8,2,0,8,,Temple,Miami
750,109,24,0,7,8,2,0,8,,Wake Forest,Duke
750,21,63,0,8,8,2,0,8,,Clemson,NC State
750,93,58,0,9,8,2,0,8,,Texas A&M,Nebraska
930,14,26,0,10,8,2,0,8,,Bowling Green,Eastern Michigan
930,103,101,0,11,8,2,0,8,,Utah,UNLV
930,94,72,0,12,8,2,0,8,,Texas Tech,Oklahoma State
930,25,8,0,13,8,2,0,8,,ECU,Army
930,78,114,0,14,8,2,0,8,,Purdue,Wisconsin
930,32,43,0,15,8,2,0,8,,Hawaii,Louisiana Tech
930,55,9,0,16,8,2,0,8,,Mississippi State,Auburn
930,35,51,0,17,8,2,0,8,,Illinois,Michigan
930,12,83,0,18,8,2,0,8,,Boise State,SMU
930,111,87,0,19,8,2,0,8,,Washington State,Stanford
1080,50,10,0,20,8,2,0,8,,Miami University,Ball State
1080,52,54,0,21,8,2,0,8,,Michigan State,Minnesota
1080,48,33,0,22,8,2,0,8,,Memphis,Houston
1080,102,68,0,23,8,2,0,8,,USC,Notre Dame
1080,100,41,0,24,8,2,0,8,,Connecticut,Kent State
1080,57,79,0,25,8,2,0,8,,Navy,Rice
1080,5,62,0,26,8,2,0,8,,Arizona State,North Carolina
1080,98,89,0,27,8,2,0,8,,UAB,TCU
1080,18,2,0,28,8,2,0,8,,UCF,Akron
1080,110,75,0,29,8,2,0,8,,Washington,Oregon State
1080,113,66,0,30,8,2,0,8,,Western Michigan,Northern Illinois
1080,13,88,0,31,8,2,0,8,,Boston College,Syracuse
1080,22,40,0,32,8,2,0,8,,Colorado,Kansas State
1080,30,106,0,33,8,2,0,8,,Georgia,Vanderbilt
1080,96,44,0,34,8,2,0,8,,Tulane,Louisville
1200,27,6,0,35,8,2,0,8,,Florida,Arkansas
1200,34,7,0,36,8,2,0,8,,Idaho,Arkansas State
1200,143,53,0,37,8,2,0,8,,Troy,Mid Tenn State
1200,77,80,0,38,8,2,0,8,,Pittsburgh,Rutgers
1200,16,115,0,39,8,2,0,8,,BYU,Wyoming
1200,37,70,0,40,8,2,0,8,,Iowa,Ohio State
1200,95,19,0,41,8,2,0,8,,Toledo,Central Michigan
1200,60,81,0,42,8,2,0,8,,New Mexico,San Diego State
1200,92,38,0,43,8,2,0,8,,Texas,Iowa State
1200,11,39,0,44,8,2,0,8,,Baylor,Kansas
1200,59,97,0,45,8,2,0,8,,Nevada,Tulsa
1200,69,42,0,46,8,2,0,8,,Ohio,Kentucky
1200,46,15,0,47,8,2,0,8,,Marshall,Buffalo
1200,56,71,0,48,8,2,0,8,,Missouri,Oklahoma
1170,108,112,0,49,8,6,0,8,,Virginia Tech,West Virginia
1170,47,31,0,0,9,0,0,9,,Maryland,Georgia Tech
750,66,14,0,1,9,2,0,9,,Northern Illinois,Bowling Green
750,87,74,0,2,9,2,0,9,,Stanford,Oregon
750,55,42,0,3,9,2,0,9,,Mississippi State,Kentucky
