DEFINITIONS,0
PLAY,Player DB
PF10,Player First
PL10,Player Last
PF01,Player First
PL01,Player Last
PL11,Player Last
PF02,Player Last
PL02,Player Last
PL12,Player First
PF03,Player First
PL03,Player Last
PL13,Player First
PF04,Player Last
PL04,Player First
PF05,Player Last
PL05,Player First
PF06,Player Last
PL06,Player First
PF07,Player Last
PL07,Player First
PF08,Player Last
PL08,Player Last
PF09,Player First
PL09,Player Last
PTHA,Throw Acc
PSTA,Stamina
PLEB,Left Elbow
PREB,Right Elbow
PKAC,Kick Acc
PACC,Acceleration
PHED,Head Style
RCHD,Hometown
PGID,Player
PHPD,?
PSPD,Speed
PRSD,REDSHIRT
PPOE,Potential
PBRE,Nasal Strip
PEYE,Eye Paint
PLMG,Mouthguard?
PFSH,Shape
PLSH,Left Shoe
PMSH,Mid Shape
PRSH,Right Shoe
PSSH,Shoulder Shape
PCTH,Catch
PAGI,Agility
PSKI,Skin Tone
PINJ,Injry
PTAK,Tackle
PPBK,Pass Block
PRBK,Run Block
PNEK,NeckPad
PFMK,Face Mask
PBTK,Break Tackle
PHCL,Hair Color
PFGM,Facial Hair?
HELM,Helmet
PHAN,Preferred Hand
PJEN,Jersey Num
PTEN,Tendancy
PLHN,left gloves
PRHN,right gloves
PSLO,Sock Length
PTTO,Tattoo
PLFP,
PTHP,Throw Power
PFMP,Faces
PIMP,Importance
PJMP,Jump
PTYP,Type
PCAR,Carry
PYER,Year
PKPR,Kick Power
PSTR,Strength
POVR,Overall
PAWR,Awareness
PVIS,Visor
PFJS,Jersey Sleeves
PPOS,Position
PLWS,Wrist
PRWS,Wrist
PHGT,Height (in)
PWGT,Weight (lb)
PSLT,
PRST,
PLSY,
PDIS,Discipline
ddep,Depth Chart Number
CONF,Conference
CGID,Conf ID
LGID,League ID
CNAM,Conf Name
CMNP,
CMXP,Conf X Points?
CNPR,
CPRS,Conf Prestige
NCcl,Conf Logo
DGID,Division ID
DNAM,Division Name
DIVI,Divisions
TSWP,Team Swap
TGID,Team ID
TIDR,Team #2 ID
SWOR,Swap Order
TOID,Team Org ID
SLNU,Team Number
BOWL,Bowl Games
BCI1,Conf #1 ID
BCR1,Conf #1 Rank
BCI2,Conf #1 ID
BCR2,Conf #2 Rank
BMFD,
SGID,Stadium ID
UTID,Trophy ID
GTOD,Time of Day
BNME,Bowl Name
SGNM,Game Number
BMON,Month
SEWN,Week Number
BLGO,Bowl Order
BPLO,
BIDX,Bowl Index
BDAY,Bowl Day
COCH,Coaches
CT05,Top 5 App
CT15,Top 15 App
CT25,Top 25 App
CDTA,Def Aggressiveness
COTA,Off Aggressiveness
CCBB,
CDPC,Discipline Pct
CRPC,Recruiting Pct
CTPC,Training Pct
CFRC,Recruit Assistance (on/off)
CFUC,User Control
CYCD,Years Coached
CCID,Coach ID
CDID,Def Playbook ID
CPID,Off Playbook ID
PTID,
CPRE,Coach Prestige
CCTF,
CLTF,Last Team Coached?
COCI,
CSKI,Coach Skin Tone
CCWI,Career Wins
CSWI,Season Wins
C25L,Top 25 Losses
CBLL,Bowl Losses
CCOL,
CCRL,Regional TV Losses
CNTL,Nat TV Losses
CRTL,Reg TV losses
CTTL,Total TV Losses
CRVL,Rival Losses
CLFN,Coach First Name
CLLN,Coach Last Name
CCRN,
CCWN,Career Wins
CTWN,Total Wins
CCJO,
CCLO,Career Losses
CSLO,Season Losses
CCPO,
CTOP,
CCTP,
CHAR,Hair Color
CDTR,Def Pass Tendency
CLTR,Last Team Coached
COTR,Off Pass Tendency
CCYR,
CTYR,Years with Team
CSAS,Disciple Assistance (on/off)
COFS,
CCLS,Longest Streak
CSLS,
CTLS,Total Losses
CDTS,Def Sub Pct
COTS,Off Sub Pct
CCWS,Winning Seasons
CRWS,
CSWS,Current Streak
CCCT,Conf Titles
COCT,
COHT,Coach Hat
CCNT,National Titles
CDST,Def Type
COST,Off Type
CWST,
C25W,Top 25 Wins
CBLW,Bowl Wins
CCRW,
CCSW,
CCTW,TV Wins
CNTW,Nat TV Wins
CRTW,Reg TV Wins
CTTW,Total TV Wins
CNVW,
CRVW,Rival Wins
CCEX,
CFEX,Face Age
CCFY,
COTY,
CBSZ,Body Size
USid,
CThg,Hair Style
CTgw,Glasses
HEIS,Heisman Candidates
HPRK,Heisman Ranking
MCOV,Magazine Covers
CID0,
HID0,
MBK0,
CEM0,
CAN0,
CTY0,
MTTN,
SEWN,Week Number
MCTX,Cover Title
MHTX,Headline Title
MLAY,
TEAM,Teams
TSI1,
TEZ1,
TSI2,
TEZ2,
TL35,
TMAA,Avg Attendance
TMIA,
TDNA,College Name
TMNA,Nick Name
TSNA,Short Name
TCPA,
TDPA,
TSPA,
TRDB,DB Rating
TFFB,
TRLB,LB Rating
TFOB,
TDPB,
TOPB,
TRQB,QB Rating
TRRB,RB Rating
TWPC,
TPID,
MSID,
TFRD,
TORD,Team Order (Display)
TRDE,DE Rating
TCHE,
TROF,Offense Rating
TCPF,
TDPF,
TSPF,
TFFG,
TFOG,
TSWI,Win Streak?
TBRK,Bowl Rank
TCRK,Coach Poll Rank
TMRK,Media Poll Rank
TNCL,
TRDL,
TMFL,
TLGL,
TCHL,
TROL,
JJNM,
TPIO,
TSLO,
INPO,
DCAP,
OCAP,
TMCP,
NCDP,
TCFP,
TMFP,
TPIP,
TMPP,
TCRP,
TCWP,
TDWP,
TTYP,
TMAR,Team Academic
