ORIGINAL ISO,,,,,,MODERN MODDED ISO,,,
TGID,TDNA,PGID Start,PGID End,,,TGID,TDNA,PGID Start,PGID End
1,Air Force,70,139,,,1,Air Force,70,139
2,Akron,140,209,,,2,Akron,140,209
3,Alabama,210,279,,,3,Alabama,210,279
4,Arizona,280,349,,,4,Arizona,280,349
5,Arizona State,350,419,,,5,Arizona State,350,419
6,Arkansas,420,489,,,6,Arkansas,420,489
7,Arkansas State,490,559,,,7,Arkansas State,490,559
8,Army,560,629,,,8,Army,560,629
9,Auburn,630,699,,,9,Auburn,630,699
10,Ball State,700,769,,,10,Ball State,700,769
11,Baylor,770,839,,,11,Baylor,770,839
12,Boise State,840,909,,,12,Boise State,840,909
13,Boston College,910,979,,,13,Boston College,910,979
14,Bowling Green,980,1049,,,14,Bowling Green,980,1049
15,Buffalo,1050,1119,,,15,Buffalo,1050,1119
16,BYU,1120,1189,,,16,BYU,1120,1189
17,Cal,1190,1259,,,17,Cal,1190,1259
18,UCF,1260,1329,,,18,UCF,1260,1329
19,Central Michigan,1330,1399,,,19,Central Michigan,1330,1399
20,Cincinnati,1400,1469,,,20,Cincinnati,1400,1469
21,Clemson,1470,1539,,,21,Clemson,1470,1539
22,Colorado,1540,1609,,,22,Colorado,1540,1609
23,Colorado State,1610,1679,,,23,Colorado State,1610,1679
24,Duke,1680,1749,,,24,Duke,1680,1749
25,ECU,1750,1819,,,25,ECU,1750,1819
26,Eastern Michigan,1820,1889,,,26,Eastern Michigan,1820,1889
27,Florida,1890,1959,,,27,Florida,1890,1959
28,Florida State,1960,2029,,,28,Florida State,1960,2029
29,Fresno State,2030,2099,,,29,Fresno State,2030,2099
30,Georgia,2100,2169,,,30,Georgia,2100,2169
31,Georgia Tech,2170,2239,,,31,Georgia Tech,2170,2239
32,Hawaii,2240,2309,,,32,Hawaii,2240,2309
33,Houston,2310,2379,,,33,Houston,2310,2379
34,Idaho,2380,2449,,,34,Idaho,2380,2449
35,Illinois,2450,2519,,,35,Illinois,2450,2519
36,Indiana,2520,2589,,,36,Indiana,2520,2589
37,Iowa,2590,2659,,,37,Iowa,2590,2659
38,Iowa State,2660,2729,,,38,Iowa State,2660,2729
39,Kansas,2730,2799,,,39,Kansas,2730,2799
40,Kansas State,2800,2869,,,40,Kansas State,2800,2869
41,Kent State,2870,2939,,,41,Kent State,2870,2939
42,Kentucky,2940,3009,,,42,Kentucky,2940,3009
43,Louisiana Tech,3010,3079,,,43,Louisiana Tech,3010,3079
44,Louisville,3080,3149,,,44,Louisville,3080,3149
45,LSU,3150,3219,,,45,LSU,3150,3219
46,Marshall,3220,3289,,,46,Marshall,3220,3289
47,Maryland,3290,3359,,,47,Maryland,3290,3359
48,Memphis,3360,3429,,,48,Memphis,3360,3429
49,Miami,3430,3499,,,49,Miami,3430,3499
