ORIGINAL ISO,,,,,,MODERN MODDED ISO,,,
TGID,TDNA,PGID Start,PGID End,,,TGID,TDNA,PGID Start,PGID End
50,Miami University,3500,3569,,,50,Miami University,3500,3569
51,Michigan,3570,3639,,,51,Michigan,3570,3639
52,Michigan State,3640,3709,,,52,Michigan State,3640,3709
53,Mid Tenn State,3710,3779,,,53,Mid Tenn State,3710,3779
54,Minnesota,3780,3849,,,54,Minnesota,3780,3849
55,Mississippi State,3850,3919,,,55,Mississippi State,3850,3919
56,Missouri,3920,3989,,,56,Missouri,3920,3989
57,Navy,3990,4059,,,57,Navy,3990,4059
58,Nebraska,4060,4129,,,58,Nebraska,4060,4129
59,Nevada,4130,4199,,,59,Nevada,4130,4199
60,New Mexico,4200,4269,,,60,New Mexico,4200,4269
61,New Mexico State,4270,4339,,,61,New Mexico State,4270,4339
62,North Carolina,4340,4409,,,62,North Carolina,4340,4409
63,NC State,4410,4479,,,63,NC State,4410,4479
64,North Texas,4480,4549,,,64,North Texas,4480,4549
65,UL Monroe,4550,4619,,,65,UL Monroe,4550,4619
66,Northern Illinois,4620,4689,,,66,Northern Illinois,4620,4689
67,Northwestern,4690,4759,,,67,Northwestern,4690,4759
68,Notre Dame,4760,4829,,,68,Notre Dame,4760,4829
69,Ohio,4830,4899,,,69,Ohio,4830,4899
70,Ohio State,4900,4969,,,70,Ohio State,4900,4969
71,Oklahoma,4970,5039,,,71,Oklahoma,4970,5039
72,Oklahoma State,5040,5109,,,72,Oklahoma State,5040,5109
73,Ole Miss,5110,5179,,,73,Ole Miss,5110,5179
74,Oregon,5180,5249,,,74,Oregon,5180,5249
75,Oregon State,5250,5319,,,75,Oregon State,5250,5319
76,Penn State,5320,5389,,,76,Penn State,5320,5389
77,Pittsburgh,5390,5459,,,77,Pittsburgh,5390,5459
78,Purdue,5460,5529,,,78,Purdue,5460,5529
79,Rice,5530,5599,,,79,Rice,5530,5599
80,Rutgers,5600,5669,,,80,Rutgers,5600,5669
81,San Diego State,5670,5739,,,81,San Diego State,5670,5739
82,San Jose State,5740,5809,,,82,San Jose State,5740,5809
83,SMU,5810,5879,,,83,SMU,5810,5879
84,South Carolina,5880,5949,,,84,South Carolina,5880,5949
85,Southern Miss,5950,6019,,,85,Southern Miss,5950,6019
86,UL Lafayette,6020,6089,,,86,UL Lafayette,6020,6089
87,Stanford,6090,6159,,,87,Stanford,6090,6159
88,Syracuse,6160,6229,,,88,Syracuse,6160,6229
89,TCU,6230,6299,,,89,TCU,6230,6299
90,Temple,6300,6369,,,90,Temple,6300,6369
91,Tennessee,6370,6439,,,91,Tennessee,6370,6439
92,Texas,6440,6509,,,92,Texas,6440,6509
93,Texas A&M,6510,6579,,,93,Texas A&M,6510,6579
94,Texas Tech,6580,6649,,,94,Texas Tech,6580,6649
95,Toledo,6650,6719,,,95,Toledo,6650,6719
96,Tulane,6720,6789,,,96,Tulane,6720,6789
97,Tulsa,6790,6859,,,97,Tulsa,6790,6859
98,UAB,6860,6929,,,98,UAB,6860,6929
99,UCLA,6930,6999,,,99,UCLA,6930,6999
100,Connecticut,7000,7069,,,100,Connecticut,7000,7069
101,UNLV,7070,7139,,,101,UNLV,7070,7139
102,USC,7140,7209,,,102,USC,7140,7209
103,Utah,7210,7279,,,103,Utah,7210,7279
104,Utah State,7280,7349,,,104,Utah State,7280,7349
105,UTEP,7350,7419,,,105,UTEP,7350,7419
106,Vanderbilt,7420,7489,,,106,Vanderbilt,7420,7489
107,Virginia,7490,7559,,,107,Virginia,7490,7559
108,Virginia Tech,7560,7629,,,108,Virginia Tech,7560,7629
109,Wake Forest,7630,7699,,,109,Wake Forest,7630,7699
110,Washington,7700,7769,,,110,Washington,7700,7769
111,Washington State,7770,7839,,,111,Washington State,7770,7839
112,West Virginia,7840,7909,,,112,West Virginia,7840,7909
113,Western Michigan,7910,7979,,,113,Western Michigan,7910,7979
114,Wisconsin,7980,8049,,,114,Wisconsin,7980,8049
115,Wyoming,8050,8119,,,115,Wyoming,8050,8119
116,Alabama A&M,8120,8189,,,116,Alabama A&M,8120,8189
117,Alabama State,8190,8259,,,117,Alabama State,8190,8259
118,Alcorn State,8260,8329,,,118,Alcorn State,8260,8329
119,Ark - Pine Bluff,8330,8399,,,119,Ark - Pine Bluff,8330,8399
120,Bethune-Cookman,8400,8469,,,120,Bethune-Cookman,8400,8469
121,Brown,8470,8539,,,121,Brown,8470,8539
122,Columbia,8540,8609,,,122,Columbia,8540,8609
123,Cornell,8610,8679,,,123,Cornell,8610,8679
124,Dartmouth,8680,8749,,,124,Dartmouth,8680,8749
125,Delaware State,8750,8819,,,125,Delaware State,8750,8819
126,Florida A&M,8820,8889,,,126,Florida A&M,8820,8889
127,Grambling State,8890,8959,,,127,Grambling State,8890,8959
128,Hampton,8960,9029,,,128,Hampton,8960,9029
129,Harvard,9030,9099,,,129,Harvard,9030,9099
130,Howard,9100,9169,,,130,Howard,9100,9169
131,Jackson State,9170,9239,,,131,Jackson State,9170,9239
132,Miss Valley State,9240,9309,,,132,Miss Valley State,9240,9309
133,Morgan State,9310,9379,,,133,Morgan State,9310,9379
134,Norfolk State,9380,9449,,,134,Norfolk State,9380,9449
135,NC A&T State,9450,9519,,,135,NC A&T State,9450,9519
136,Penn,9520,9589,,,136,Penn,9520,9589
137,Prairie View A&M,9590,9659,,,137,Prairie View A&M,9590,9659
138,Princeton,9660,9729,,,138,Princeton,9660,9729
139,S Carolina State,9730,9799,,,139,S Carolina State,9730,9799
140,Southern,9800,9869,,,140,Southern,9800,9869
141,Texas Southern,9870,9939,,,141,Texas Southern,9870,9939
142,Yale,9940,10009,,,142,Yale,9940,10009
143,Troy,10010,10079,,,143,Troy,10010,10079
144,USF,10080,10149,,,144,USF,10080,10149
160,1AA East,11200,11269,,,160,South Alabama,11200,11269
161,1AA West,11270,11339,,,161,Liberty,11270,11339
162,1AA Northwest,11340,11409,,,162,Georgia State,11340,11409
163,1AA Midwest,11410,11479,,,163,UTSA,11410,11479
164,1AA Southeast,11480,11549,,,164,Old Dominion,11480,11549
177,Delaware,12390,12459,,,177,Delaware,12390,12459
178,Hofstra,12460,12529,,,178,Coastal Carolina,12460,12529
179,James Madison,12530,12599,,,179,James Madison,12530,12599
180,Maine,12600,12669,,,180,Maine,12600,12669
181,UMass,12670,12739,,,181,UMass,12670,12739
182,New Hampshire,12740,12809,,,182,New Hampshire,12740,12809
183,Northeastern,12810,12879,,,183,Charlotte,12810,12879
184,Rhode Island,12880,12949,,,184,Rhode Island,12880,12949
185,Richmond,12950,13019,,,185,Richmond,12950,13019
186,Villanova,13020,13089,,,186,Villanova,13020,13089
187,William and Mary,13090,13159,,,187,William and Mary,13090,13159
188,Appalachian State,13160,13229,,,188,Appalachian State,13160,13229
189,The Citadel,13230,13299,,,189,The Citadel,13230,13299
191,Elon,13370,13439,,,191,Elon,13370,13439
192,Furman,13440,13509,,,192,Furman,13440,13509
193,Georgia Southern,13510,13579,,,193,Georgia Southern,13510,13579
194,Chattanooga,13580,13649,,,194,Chattanooga,13580,13649
195,Western Carolina,13650,13719,,,195,Western Carolina,13650,13719
196,Wofford,13720,13789,,,196,Wofford,13720,13789
197,E Washington,13790,13859,,,197,E Washington,13790,13859
198,Idaho State,13860,13929,,,198,Idaho State,13860,13929
199,Montana,13930,13999,,,199,Montana,13930,13999
200,Montana State,14000,14069,,,200,Montana State,14000,14069
201,Northern Arizona,14070,14139,,,201,Northern Arizona,14070,14139
202,Portland State,14140,14209,,,202,Portland State,14140,14209
203,Sacramento State,14210,14279,,,203,Sacramento State,14210,14279
204,Weber State,14280,14349,,,204,Weber State,14280,14349
205,Illinois State,14350,14419,,,205,Illinois State,14350,14419
206,Indiana State,14420,14489,,,206,Indiana State,14420,14489
207,UNI,14490,14559,,,207,UNI,14490,14559
208,Southern Illinois,14560,14629,,,208,Southern Illinois,14560,14629
209,SMS,14630,14699,,,209,SMS,14630,14699
210,Western Illinois,14700,14769,,,210,Western Illinois,14700,14769
211,Western Kentucky,14770,14839,,,211,Western Kentucky,14770,14839
212,Youngstown State,14840,14909,,,212,Youngstown State,14840,14909
213,McNeese State,14910,14979,,,213,McNeese State,14910,14979
214,Northwestern St,14980,15049,,,214,Northwestern St,14980,15049
215,Nicholls State,15050,15119,,,215,Nicholls State,15050,15119
216,Stephen F. Austin,15120,15189,,,216,Stephen F. Austin,15120,15189
217,Sam Houston St,15190,15259,,,217,Sam Houston St,15190,15259
218,Texas State,15260,15329,,,218,Texas State,15260,15329
219,Eastern Illinois,15330,15399,,,219,Eastern Illinois,15330,15399
220,Murray State,15400,15469,,,220,Murray State,15400,15469
221,Eastern Kentucky,15470,15539,,,221,Eastern Kentucky,15470,15539
222,SE Missouri St,15540,15609,,,222,SE Missouri St,15540,15609
223,Jacksonville State,15610,15679,,,223,Jacksonville State,15610,15679
224,Tennessee Tech,15680,15749,,,224,Tennessee Tech,15680,15749
225,Tennessee State,15750,15819,,,225,Tennessee State,15750,15819
226,Samford,15820,15889,,,226,Samford,15820,15889
227,Tennessee-Martin,15890,15959,,,227,Tennessee-Martin,15890,15959
228,Towson,15960,16029,,,228,Towson,15960,16029
229,Florida Atlantic,16030,16099,,,229,Florida Atlantic,16030,16099
230,FIU,16100,16169,,,230,FIU,16100,16169
231,Southeastern,16170,16239,,,231,Southeastern,16170,16239
